*Item,Descr,*Source,*Dest,*Sourcing,Factor,TransMode,ShipCal,ArrivCal,MajorShipQty,MinorShipQty,RoundingFactor,Disc,Eff,UDC_NOTE_CREATESS,UDC_NOTE_DISC,ONOFF
3463139,AU-NLS RING H.HOA CUC 3.8L,805,160,SOURCING,1.000,LAND,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,.000,.000,.500,,,,,false
3463140,Au-NLS Ring H.HoaHong 3.8L,805,160,SOURCING,1.000,LAND,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,.000,.000,.500,11/8/22 12:00 AM,,,"CF KHONG KINH DOANH ,AUCHAN",true
3463141,AU-NLS RING DUOICONTRUNG3.8L,805,160,SOURCING,1.000,LAND,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,.000,.000,.500,11/8/22 12:00 AM,,,"CF KHONG KINH DOANH ,AUCHAN",true
3463142,Au-NTay javel MYHAO 300g,805,160,SOURCING,1.000,LAND,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,.000,.000,.500,11/17/22 12:00 AM,,,PKDYC_ITEM AUCHAN,true
3463143,AU-NTAY JAVEL MYHAO 550G,805,160,SOURCING,1.000,LAND,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,.000,.000,.500,11/8/22 12:00 AM,,,"CF KHONG KINH DOANH ,AUCHAN",true
3463144,Au-NRC My Hao H.Buoi 5X 750g,805,160,SOURCING,1.000,LAND,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,.000,.000,.500,11/8/22 12:00 AM,,,"CF KHONG KINH DOANH ,AUCHAN",true
3463145,AU-NRC MY HAO H.BUOI 5X 1.5KG,805,160,SOURCING,1.000,LAND,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,.000,.000,.500,11/8/22 12:00 AM,,,"CF KHONG KINH DOANH ,AUCHAN",true
3466390,Dau t.vat t.luyen OLITA 2L,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,6.000,6.000,.500,,,,,false
3466392,Au-NRC My Hao H.Buoi 5X 400g,805,160,SOURCING,1.000,LAND,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,.000,.000,.500,11/17/22 12:00 AM,,,PKDYC_ITEM AUCHAN,true
3467305,C-Au-NX SIUSOP hong 3.8L,805,160,SOURCING,1.000,LAND,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,.000,.000,.500,8/1/21 12:00 AM,,,,false
3467853,Gia vi Aji-Quick kho tau 32g,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,160.000,160.000,.500,,,,,false
3468892,Tra Xanh KIRIN kh.duong 345ml,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,.000,.000,.500,,1/1/19 12:00 AM,,,false
3468909,Cafe htan King cafe sua 50x24g,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,12.000,12.000,.500,,1/1/19 12:00 AM,,,false
3471032,KGiay rut TEMPO Menthol 4L 90M,805,160,SOURCING,1.000,LAND,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,64.000,64.000,.500,,,,,false
3472424,KM-Bia 333 th 24lonx330ml,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,1.000,1.000,.500,,,,,false
3472425,KM-Bia SGSpecial 24lonx330ml,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,1.000,1.000,.500,,,,,false
3472426,KM-Bia SGLager th24lonx330ml,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,1.000,1.000,.500,,,,,false
3472531,T.U schua & chanh IMUSE 280ml,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,.000,.000,.500,,1/1/19 12:00 AM,,,false
3473446,KGiay btui Coop Select 3L,805,160,SOURCING,1.000,LAND,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,600.000,600.000,.500,,,,,false
3473447,Tui PP Coop Select 43cm,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,100.000,100.000,.500,,,,,false
3473472,Chanh muoi Coop Select 500g,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,20.000,20.000,.500,,,03/04/2023_25NCC_HNR,,false
3473473,Chanh muoi Coop Select 1kg,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,12.000,12.000,.500,,,03/04/2023_25NCC_HNR,,false
3473482,K.deo C.CHUPS Sour Bites 56g,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,70.000,70.000,.500,,,,,false
3474942,KM 1T+1-Ly tt Denver(3293885),801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,1.000,1.000,.500,,,,,false
3475383,Bo noixunginox1DnkHTCook-28cm*,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,1.000,1.000,.500,,,,,false
3475942,C-Nuoc Mam chay LT 500ml,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,12.000,12.000,.500,,,,,false
3476194,Ro nhua dan thap 1098-1T4,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,10.000,10.000,.500,,,NewSKU_01042023,,false
3476195,Ro nhua dan thap 1099-1T8,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,10.000,10.000,.500,,,NewSKU_01042023,,false
3476196,Ro nhua dan thap 1100-2T6,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,10.000,10.000,.500,,,NewSKU_01042023,,false
