STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS,
416,3160021,15506,111-Cty Bot giat LIX-NR,,Y,
417,3160022,15506,111-Cty Bot giat LIX-NR,,Y,
418,3160023,15506,111-Cty Bot giat LIX-NR,,Y,
419,3160024,15506,111-Cty Bot giat LIX-NR,,Y,
434,3288046,15800,110-Cty TNHH 1TV Tri Hoi,X,N,
436,3333828,15506,111-Cty Bot giat LIX-NR,,Y,
437,3333830,15506,111-Cty Bot giat LIX-NR,,Y,
438,3333833,15506,111-Cty Bot giat LIX-NR,,Y,
439,3333834,15506,111-Cty Bot giat LIX-NR,,Y,
440,3333835,15506,111-Cty Bot giat LIX-NR,,Y,
441,3372212,15506,111-Cty Bot giat LIX-NR,,Y,
442,3372213,15506,111-Cty Bot giat LIX-NR,,Y,
443,3372214,15506,111-Cty Bot giat LIX-NR,X,N,
445,3372481,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,,Y,
461,3530731,21076,110-Cong Ty TNHH SALACOS -NR,,Y,
462,3530732,21076,110-Cong Ty TNHH SALACOS -NR,,Y,
463,3530733,21076,110-Cong Ty TNHH SALACOS -NR,,Y,
464,3530734,21076,110-Cong Ty TNHH SALACOS -NR,,Y,
471,3523764,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,,Y,
472,3523765,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,,Y,
473,3523766,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,,Y,
483,3524461,20536,100-CTYTNHH THIET BI YTE HA TRAN-NR,,Y,
484,3524462,20536,100-CTYTNHH THIET BI YTE HA TRAN-NR,,Y,
497,3356098,15506,111-Cty Bot giat LIX-NR,,Y,
498,3356101,15506,111-Cty Bot giat LIX-NR,,Y,
511,3192268,16760,110-Cua Hang Hue Lam,,Y,
528,3473446,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,,Y,
532,3277949,15506,111-Cty Bot giat LIX-NR,,Y,
533,3277950,15506,111-Cty Bot giat LIX-NR,,Y,
548,3501642,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,,Y,
565,3541455,15800,110-Cty TNHH 1TV Tri Hoi,X,N,
590,3553316,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,,Y,
597,3269076,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,,Y,
598,3271310,16760,110-Cua Hang Hue Lam,X,N,
600,3320019,15506,111-Cty Bot giat LIX-NR,,Y,
613,3535759,21076,110-Cong Ty TNHH SALACOS -NR,,Y,
614,3535760,21076,110-Cong Ty TNHH SALACOS -NR,,Y,
615,3535761,21076,110-Cong Ty TNHH SALACOS -NR,,Y,
