ITEM,VENDOR,DESCR,NOTE,NH
3501640,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,HNR - G?1,3
3501641,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,HNR - G?1,3
3509230,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3509231,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3509233,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3509234,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3509236,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3101964,13979,100-CTy TNHH Thuong Mai L.H,PKD - G?1,4
3101976,13979,100-CTy TNHH Thuong Mai L.H,PKD - G?1,4
3102010,13979,100-CTy TNHH Thuong Mai L.H,PKD - G?1,4
3102394,11119,110-Cty TNHH Lotte Viet Nam,PKD - G?1,2
3102395,11119,110-Cty TNHH Lotte Viet Nam,PKD - G?1,2
3103381,10985,100-Cty TM&PT Cong Nghe Kolend,PKD - G?1,4
3103382,10985,100-Cty TM&PT Cong Nghe Kolend,PKD - G?1,4
3103653,15348,130-CTY CP SX Tra Hung Phat,PKD - G?1,2
3103654,15348,130-CTY CP SX Tra Hung Phat,PKD - G?1,2
3283554,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3284188,20846,111-Cty Co Phan Tap Doan KIDO ,PKD - G?1,2
3284196,20846,111-Cty Co Phan Tap Doan KIDO ,PKD - G?1,2
3329700,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,HNR - G?1,3
3368148,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3368149,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3368150,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3368151,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3368786,20846,111-Cty Co Phan Tap Doan KIDO ,PKD - G?1,2
3475382,16964,100-CTy TNHH Tan Hop Thanh,PKD - G?1,4
3475383,16964,100-CTy TNHH Tan Hop Thanh,PKD - G?1,4
3475665,16964,100-CTy TNHH Tan Hop Thanh,PKD - G?1,4
3476194,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3476195,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3476196,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3476198,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3476199,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3476200,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3476201,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3476202,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3538419,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),PKD - G?1,4
3543870,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3544246,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3218628,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3517621,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3541545,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3557777,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),PKD - G?1,4
3557783,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3545292,16760,110-Cua Hang Hue Lam,PKD - G?1,3
3557782,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3554246,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3534601,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),PKD - G?1,4
3348367,16964,100-CTy TNHH Tan Hop Thanh,PKD - G?1,4
3348368,16964,100-CTy TNHH Tan Hop Thanh,PKD - G?1,4
3348492,11119,110-Cty TNHH Lotte Viet Nam,PKD - G?1,2
3448562,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3448564,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3419927,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3496755,20846,111-Cty Co Phan Tap Doan KIDO ,PKD - G?1,2
