STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS,
65,3055287,10985,100-Cty TM&PT Cong Nghe Kolend,KDBT,Y,
66,3055288,10985,100-Cty TM&PT Cong Nghe Kolend,KDBT,Y,
67,3055289,10985,100-Cty TM&PT Cong Nghe Kolend,KDBT,Y,
68,3055291,10985,100-Cty TM&PT Cong Nghe Kolend,KDBT,Y,
69,3062359,10985,100-Cty TM&PT Cong Nghe Kolend,KDBT,Y,
94,3103381,10985,100-Cty TM&PT Cong Nghe Kolend,KDBT,Y,
95,3103382,10985,100-Cty TM&PT Cong Nghe Kolend,KDBT,Y,
491,3311633,10985,100-Cty TM&PT Cong Nghe Kolend,KDBT,Y,
520,3371132,10985,100-Cty TM&PT Cong Nghe Kolend,KDBT,Y,
61,3055280,12989,100-CTY TNHH SAMRAN,KDBT,Y,
229,3012794,12989,100-CTY TNHH SAMRAN,KDBT,Y,
236,3253175,12989,100-CTY TNHH SAMRAN,KDBT,Y,
420,3382457,12989,100-CTY TNHH SAMRAN,BAN CHAM,N,
425,3487366,12989,100-CTY TNHH SAMRAN,BAN CHAM,N,
431,3223203,12989,100-CTY TNHH SAMRAN,KDBT,Y,
656,3307987,12989,100-CTY TNHH SAMRAN,KDBT,Y,
688,3246587,12989,100-CTY TNHH SAMRAN,KHONG KD,N,
763,3300069,12989,100-CTY TNHH SAMRAN,KDBT,Y,
219,3383606,13468,100-CTY TNHH SAMRAN-NR,KDBT,Y,
220,3383607,13468,100-CTY TNHH SAMRAN-NR,KDBT,Y,
221,3383608,13468,100-CTY TNHH SAMRAN-NR,KDBT,Y,
222,3383609,13468,100-CTY TNHH SAMRAN-NR,KDBT,Y,
290,3494100,13468,100-CTY TNHH SAMRAN-NR,KHONG KD,N,
291,3494101,13468,100-CTY TNHH SAMRAN-NR,KHONG KD,N,
292,3494102,13468,100-CTY TNHH SAMRAN-NR,KDBT,Y,
293,3494103,13468,100-CTY TNHH SAMRAN-NR,BAN CHAM,N,
14,3430008,16964,100-CTy TNHH Tan Hop Thanh,KDBT,Y,
15,3430009,16964,100-CTy TNHH Tan Hop Thanh,KDBT,Y,
16,3430010,16964,100-CTy TNHH Tan Hop Thanh,MA C,N,
20,3348369,16964,100-CTy TNHH Tan Hop Thanh,KDBT,Y,
43,3542949,16964,100-CTy TNHH Tan Hop Thanh,KDBT,Y,
44,3542950,16964,100-CTy TNHH Tan Hop Thanh,KDBT,Y,
72,3318296,16964,100-CTy TNHH Tan Hop Thanh,KDBT,Y,
107,3475382,16964,100-CTy TNHH Tan Hop Thanh,MA C,N,
108,3475383,16964,100-CTy TNHH Tan Hop Thanh,KDBT,Y,
109,3475665,16964,100-CTy TNHH Tan Hop Thanh,MA C,N,
130,3348367,16964,100-CTy TNHH Tan Hop Thanh,KDBT,Y,
131,3348368,16964,100-CTy TNHH Tan Hop Thanh,KDBT,Y,
156,3430007,16964,100-CTy TNHH Tan Hop Thanh,KDBT,Y,
178,3497612,16964,100-CTy TNHH Tan Hop Thanh,BAN CHAM,N,
212,3357483,16964,100-CTy TNHH Tan Hop Thanh,MA C,N,
214,3327143,16964,100-CTy TNHH Tan Hop Thanh,KDBT,Y,
