STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS
109,3475665,16964,100-CTy TNHH Tan Hop Thanh,Ngung kinh doanh(Ma C),N
110,3476194,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
111,3476195,11773,110-CTy CP SX Nhua Duy Tan,Khg kinh doanh-khg co vi tri,N
112,3476196,11773,110-CTy CP SX Nhua Duy Tan,Khg kinh doanh-khg co vi tri,N
113,3476198,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
114,3476199,11773,110-CTy CP SX Nhua Duy Tan,Khg kinh doanh-khg co vi tri,N
115,3476200,11773,110-CTy CP SX Nhua Duy Tan,Khg kinh doanh-khg co vi tri,N
116,3476201,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh(Ma C),N
117,3476202,11773,110-CTy CP SX Nhua Duy Tan,Khg kinh doanh-khg co vi tri,N
118,3538419,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Ma KM,Y
119,3543870,11773,110-CTy CP SX Nhua Duy Tan,Ngung Kinh doanh(Ban cham),N
120,3544246,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
121,3218628,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
122,3517621,11773,110-CTy CP SX Nhua Duy Tan,Ngung Kinh doanh(Ban cham-khg co vi tri),N
123,3541545,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
124,3557777,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
125,3557783,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
127,3557782,11773,110-CTy CP SX Nhua Duy Tan,Khg kinh doanh(Khg co vi tri),N
128,3554246,11773,110-CTy CP SX Nhua Duy Tan,Khg kinh doanh(Khg co vi tri),N
129,3534601,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
130,3348367,16964,100-CTy TNHH Tan Hop Thanh,Dang kinh doanh,Y
131,3348368,16964,100-CTy TNHH Tan Hop Thanh,Dang kinh doanh,Y
