STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS
366,3521129,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,Dang kinh doanh,Y
367,3521130,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,Dang kinh doanh,Y
368,3521131,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,Dang kinh doanh,Y
385,3314078,16760,110-Cua Hang Hue Lam,Ngung kinh doanh,N
386,3314147,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
387,3452209,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
388,3452211,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,Dang kinh doanh,Y
389,3452217,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,Dang kinh doanh,Y
390,3452218,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,Dang kinh doanh,Y
391,3452220,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,Dang kinh doanh,Y
392,3452222,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,Dang kinh doanh,Y
393,3452223,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,Dang kinh doanh,Y
406,3184818,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
407,3184823,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
408,3184824,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
413,3500596,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,Dang kinh doanh,Y
416,3160021,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
417,3160022,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
418,3160023,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
419,3160024,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
434,3288046,15800,110-Cty TNHH 1TV Tri Hoi,Ngung kinh doanh,N
436,3333828,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
437,3333830,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
438,3333833,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
439,3333834,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
440,3333835,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
441,3372212,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
442,3372213,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
443,3372214,15506,111-Cty Bot giat LIX-NR,Ngung kinh doanh,N
445,3372481,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,Dang kinh doanh,Y
461,3530731,21076,110-Cong Ty TNHH SALACOS -NR,Dang kinh doanh,Y
462,3530732,21076,110-Cong Ty TNHH SALACOS -NR,Dang kinh doanh,Y
463,3530733,21076,110-Cong Ty TNHH SALACOS -NR,Dang kinh doanh,Y
464,3530734,21076,110-Cong Ty TNHH SALACOS -NR,Dang kinh doanh,Y
471,3523764,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,Dang kinh doanh,Y
472,3523765,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,Dang kinh doanh,Y
473,3523766,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,Dang kinh doanh,Y
483,3524461,20536,100-CTYTNHH THIET BI YTE HA TRAN-NR,Ngung kinh doanh,N
484,3524462,20536,100-CTYTNHH THIET BI YTE HA TRAN-NR,Ngung kinh doanh,N
497,3356098,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
498,3356101,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
511,3192268,16760,110-Cua Hang Hue Lam,Ngung kinh doanh,N
528,3473446,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,Dang kinh doanh,Y
532,3277949,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
533,3277950,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
548,3501642,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,Dang kinh doanh,Y
565,3541455,15800,110-Cty TNHH 1TV Tri Hoi,Ngung kinh doanh,N
590,3553316,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,Dang kinh doanh,Y
597,3269076,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,Dang kinh doanh,Y
598,3271310,16760,110-Cua Hang Hue Lam,Ngung kinh doanh,N
600,3320019,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
613,3535759,21076,110-Cong Ty TNHH SALACOS -NR,Dang kinh doanh,Y
614,3535760,21076,110-Cong Ty TNHH SALACOS -NR,Dang kinh doanh,Y
615,3535761,21076,110-Cong Ty TNHH SALACOS -NR,Dang kinh doanh,Y
624,3537271,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,Dang kinh doanh,Y
633,3384314,15800,110-Cty TNHH 1TV Tri Hoi,Ngung kinh doanh,N
638,3437745,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
640,3437748,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
641,3437749,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
642,3437750,15506,111-Cty Bot giat LIX-NR,Ngung kinh doanh,N
673,3525067,21076,110-Cong Ty TNHH SALACOS -NR,Dang kinh doanh,Y
674,3525068,21076,110-Cong Ty TNHH SALACOS -NR,Dang kinh doanh,Y
675,3525069,21076,110-Cong Ty TNHH SALACOS -NR,Dang kinh doanh,Y
676,3525114,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,Dang kinh doanh,Y
677,3525115,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,Dang kinh doanh,Y
678,3525116,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,Dang kinh doanh,Y
680,3527979,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,Dang kinh doanh,Y
681,3527980,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,Ngung kinh doanh,N
694,3282513,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
696,3282735,16760,110-Cua Hang Hue Lam,Ngung kinh doanh,N
697,3282736,16760,110-Cua Hang Hue Lam,Ngung kinh doanh,N
698,3282737,16760,110-Cua Hang Hue Lam,Ngung kinh doanh,N
706,3466392,15790,110-CTy CP HMP My Hao,Ngung kinh doanh,N
707,3467305,15790,110-CTy CP HMP My Hao,Ngung kinh doanh,N
711,3217101,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
712,3217105,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
716,3110820,15790,110-CTy CP HMP My Hao,Dang kinh doanh,Y
717,3110821,15790,110-CTy CP HMP My Hao,Dang kinh doanh,Y
724,3463138,15790,110-CTy CP HMP My Hao,Ngung kinh doanh,N
725,3463139,15790,110-CTy CP HMP My Hao,Ngung kinh doanh,N
726,3463140,15790,110-CTy CP HMP My Hao,Ngung kinh doanh,N
727,3463141,15790,110-CTy CP HMP My Hao,Ngung kinh doanh,N
728,3463142,15790,110-CTy CP HMP My Hao,Ngung kinh doanh,N
729,3463143,15790,110-CTy CP HMP My Hao,Ngung kinh doanh,N
730,3463144,15790,110-CTy CP HMP My Hao,Ngung kinh doanh,N
731,3463145,15790,110-CTy CP HMP My Hao,Ngung kinh doanh,N
746,3422432,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,Dang kinh doanh,Y
756,3007093,15790,110-CTy CP HMP My Hao,Dang kinh doanh,Y
772,3296686,15506,111-Cty Bot giat LIX-NR,Ngung kinh doanh,N
780,3343735,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
785,3545291,16760,110-Cua Hang Hue Lam,Ngung kinh doanh,N
806,3537640,20536,100-CTYTNHH THIET BI YTE HA TRAN-NR,Ngung kinh doanh,N
