STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS,,
195,3054520,14337,130-Cty TNHH VINH TIEN,,Y,,
193,3054518,14337,130-Cty TNHH VINH TIEN,,Y,,
687,3244892,14337,130-Cty TNHH VINH TIEN,,Y,,
188,3050100,14337,130-Cty TNHH VINH TIEN,,Y,,
196,3054535,15348,130-CTY CP SX Tra Hung Phat,"Ma C , ngung kd",N,,
213,3097779,15348,130-CTY CP SX Tra Hung Phat,,Y,,
96,3103653,15348,130-CTY CP SX Tra Hung Phat,Ngung kd,N,,
97,3103654,15348,130-CTY CP SX Tra Hung Phat,Ngung kd,N,,
255,3325998,15348,130-CTY CP SX Tra Hung Phat,Ngung kd,N,,
643,3509078,15348,130-CTY CP SX Tra Hung Phat,"Ma C , ngung kd",N,,
525,3084504,15348,130-CTY CP SX Tra Hung Phat,,Y,,
524,3084503,15348,130-CTY CP SX Tra Hung Phat,,Y,,
263,3444795,15512,100-Cty CP Uniben-NR,,Y,,
534,3278389,16701,100-Cty CPTP Binh Tay-NR,,Y,,
535,3278390,16701,100-Cty CPTP Binh Tay-NR,,Y,,
357,3440951,17259,100-Cty TNHH Le Trung Thien-NR,Ngung kd,N,,
359,3440953,17259,100-Cty TNHH Le Trung Thien-NR,,Y,,
360,3440955,17259,100-Cty TNHH Le Trung Thien-NR,Ngung kd,N,,
225,3488562,17259,100-Cty TNHH Le Trung Thien-NR,Ngung kd,N,,
226,3488563,17259,100-Cty TNHH Le Trung Thien-NR,Ngung kd,N,,
358,3440952,17259,100-Cty TNHH Le Trung Thien-NR,,Y,,
224,3488561,17259,100-Cty TNHH Le Trung Thien-NR,,Y,,
666,3454991,17638,100-Cty CP TP Va Do Uong Vinatea-NR,,Y,,
668,3454993,17638,100-Cty CP TP Va Do Uong Vinatea-NR,,Y,,
665,3454990,17638,100-Cty CP TP Va Do Uong Vinatea-NR,,Y,,
667,3454992,17638,100-Cty CP TP Va Do Uong Vinatea-NR,,Y,,
860,3503267,17639,100-Cty TNHH Eikodo Viet Nam-NR,Ngung kd,N,,
60,3493826,17639,100-Cty TNHH Eikodo Viet Nam-NR,,Y,,
