STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS
75,3416065,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
76,3416066,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
77,3416071,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
78,3416680,20142,111-Cty TNHH Wilmar Mar.CLV-Sua ,Dang kinh doanh,Y
79,3416681,20142,111-Cty TNHH Wilmar Mar.CLV-Sua ,Dang kinh doanh,Y
80,3501372,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),khong KD,N
81,3501639,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,Dang kinh doanh,Y
82,3501640,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,Dang kinh doanh,Y
83,3501641,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,Dang kinh doanh,Y
84,3509230,11773,110-CTy CP SX Nhua Duy Tan,khong KD,N
85,3509231,11773,110-CTy CP SX Nhua Duy Tan,khong KD,N
86,3509233,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
87,3509234,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
88,3509236,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
89,3101964,13979,100-CTy TNHH Thuong Mai L.H,Dang kinh doanh,Y
90,3101976,13979,100-CTy TNHH Thuong Mai L.H,Dang kinh doanh,Y
91,3102010,13979,100-CTy TNHH Thuong Mai L.H,Dang kinh doanh,Y
92,3102394,11119,110-Cty TNHH Lotte Viet Nam,Ngung kinh doanh,N
93,3102395,11119,110-Cty TNHH Lotte Viet Nam,Ngung kinh doanh,N
94,3103381,10985,100-Cty TM&PT Cong Nghe Kolend,khong KD,N
95,3103382,10985,100-Cty TM&PT Cong Nghe Kolend,khong KD,N
96,3103653,15348,130-CTY CP SX Tra Hung Phat,Dang kinh doanh,Y
97,3103654,15348,130-CTY CP SX Tra Hung Phat,Ngung kinh doanh,N
98,3283554,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
99,3284188,20846,111-Cty Co Phan Tap Doan KIDO ,Dang kinh doanh,Y
100,3284196,20846,111-Cty Co Phan Tap Doan KIDO ,Dang kinh doanh,Y
101,3329700,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,Dang kinh doanh,Y
102,3368148,11773,110-CTy CP SX Nhua Duy Tan,khong KD,N
103,3368149,11773,110-CTy CP SX Nhua Duy Tan,khong KD,N
104,3368150,11773,110-CTy CP SX Nhua Duy Tan,khong KD,N
105,3368151,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
106,3368786,20846,111-Cty Co Phan Tap Doan KIDO ,Ngung kinh doanh,N
107,3475382,16964,100-CTy TNHH Tan Hop Thanh,khong KD,N
108,3475383,16964,100-CTy TNHH Tan Hop Thanh,Dang kinh doanh,Y
109,3475665,16964,100-CTy TNHH Tan Hop Thanh,khong KD,N
110,3476194,11773,110-CTy CP SX Nhua Duy Tan,khong KD,N
111,3476195,11773,110-CTy CP SX Nhua Duy Tan,khong KD,N
112,3476196,11773,110-CTy CP SX Nhua Duy Tan,khong KD,N
113,3476198,11773,110-CTy CP SX Nhua Duy Tan,khong KD,N
114,3476199,11773,110-CTy CP SX Nhua Duy Tan,khong KD,N
115,3476200,11773,110-CTy CP SX Nhua Duy Tan,khong KD,N
