STT,ITEM,VENDOR,DESCR,GHI CHU,STATUS
458,3530121,20846,111-Cty Co Phan Tap Doan KIDO ,MA C,N
459,3530295,20846,111-Cty Co Phan Tap Doan KIDO ,MA C,N
460,3530491,19219,130-Cty TNHH Nabati Viet Nam,,Y
465,3530862,20812,100-Cty CP TP ThNhien King Green-NR,,Y
466,3433445,20142,111-Cty TNHH Wilmar Mar.CLV-Sua ,,Y
474,3524070,20734,100-Cty CP Dau Tu Hai Thien Minh-NR,,Y
475,3524071,20734,100-Cty CP Dau Tu Hai Thien Minh-NR,,Y
476,3524072,20734,100-Cty CP Dau Tu Hai Thien Minh-NR,,Y
477,3524202,11119,110-Cty TNHH Lotte Viet Nam,,Y
478,3524289,10023,111-Cty Ajinomoto Bien Hoa ,,Y
485,3040978,11841,130-Cty TNHH Saigon Ve Wong,,Y
486,3040979,11841,130-Cty TNHH Saigon Ve Wong,,Y
487,3040982,11841,130-Cty TNHH Saigon Ve Wong,,Y
488,3040983,11841,130-Cty TNHH Saigon Ve Wong,,Y
489,3040988,11841,130-Cty TNHH Saigon Ve Wong,,Y
490,3255354,20846,111-Cty Co Phan Tap Doan KIDO ,,Y
496,3312942,20846,111-Cty Co Phan Tap Doan KIDO ,,Y
499,3356234,10023,111-Cty Ajinomoto Bien Hoa ,,Y
501,3459106,19939,100-Cty TNHH Muoi Thanh Phat-NR,,Y
504,3446824,20846,111-Cty Co Phan Tap Doan KIDO ,,Y
506,3468909,12320,111-Cty TNHH MTV TNI,,Y
510,3150386,11119,110-Cty TNHH Lotte Viet Nam,,Y
512,3192836,10023,111-Cty Ajinomoto Bien Hoa ,,Y
518,3494751,12547,131-Cty CP Uniben,0,N
519,3286741,10023,111-Cty Ajinomoto Bien Hoa ,,Y
524,3084503,15348,130-CTY CP SX Tra Hung Phat,0,N
525,3084504,15348,130-CTY CP SX Tra Hung Phat,,Y
526,3365210,11119,110-Cty TNHH Lotte Viet Nam,,Y
527,3365211,11119,110-Cty TNHH Lotte Viet Nam,,Y
530,3276842,11119,110-Cty TNHH Lotte Viet Nam,,Y
531,3276843,11119,110-Cty TNHH Lotte Viet Nam,,Y
534,3278389,16701,100-Cty CPTP Binh Tay-NR,,Y
535,3278390,16701,100-Cty CPTP Binh Tay-NR,,Y
536,3278393,20944,111-Cty TNHH Luong Thuc Angimex-NR,,Y
537,3278394,20944,111-Cty TNHH Luong Thuc Angimex-NR,,Y
539,3365055,20944,111-Cty TNHH Luong Thuc Angimex-NR,,Y
542,3455948,17666,100-Cty CP SXTM Tai Tai-NR,,Y
549,3510697,20734,100-Cty CP Dau Tu Hai Thien Minh-NR,,Y
550,3510698,20734,100-Cty CP Dau Tu Hai Thien Minh-NR,,Y
551,3510699,20734,100-Cty CP Dau Tu Hai Thien Minh-NR,,Y
552,3510700,20734,100-Cty CP Dau Tu Hai Thien Minh-NR,,Y
553,3175364,20142,111-Cty TNHH Wilmar Mar.CLV-Sua ,,Y
554,3403158,12547,131-Cty CP Uniben,,Y
555,3403160,12547,131-Cty CP Uniben,,Y
556,3403162,12547,131-Cty CP Uniben,,Y
557,3413710,12320,111-Cty TNHH MTV TNI,,Y
558,3413711,12320,111-Cty TNHH MTV TNI,,Y
559,3413712,12320,111-Cty TNHH MTV TNI,,Y
599,3318852,11119,110-Cty TNHH Lotte Viet Nam,,Y
601,3360436,19219,130-Cty TNHH Nabati Viet Nam,,Y
602,3361960,11119,110-Cty TNHH Lotte Viet Nam,,Y
603,3532867,10023,111-Cty Ajinomoto Bien Hoa ,,Y
606,3533269,20846,111-Cty Co Phan Tap Doan KIDO ,,Y
607,3533840,20846,111-Cty Co Phan Tap Doan KIDO ,,Y
616,3536326,10023,111-Cty Ajinomoto Bien Hoa ,,Y
625,3126487,10023,111-Cty Ajinomoto Bien Hoa ,,Y
634,3384346,19219,130-Cty TNHH Nabati Viet Nam,,Y
635,3384347,19219,130-Cty TNHH Nabati Viet Nam,,Y
639,3437747,20846,111-Cty Co Phan Tap Doan KIDO ,,Y
643,3509078,15348,130-CTY CP SX Tra Hung Phat,MA C,N
649,3519042,20812,100-Cty CP TP ThNhien King Green-NR,,Y
650,3519043,20812,100-Cty CP TP ThNhien King Green-NR,,Y
651,3519044,20812,100-Cty CP TP ThNhien King Green-NR,,Y
652,3519045,20812,100-Cty CP TP ThNhien King Green-NR,,Y
657,3352387,19219,130-Cty TNHH Nabati Viet Nam,,Y
660,3352990,11119,110-Cty TNHH Lotte Viet Nam,,Y
663,3450830,20846,111-Cty Co Phan Tap Doan KIDO ,,Y
665,3454990,17638,100-Cty CP TP Va Do Uong Vinatea-NR,,Y
666,3454991,17638,100-Cty CP TP Va Do Uong Vinatea-NR,,Y
667,3454992,17638,100-Cty CP TP Va Do Uong Vinatea-NR,,Y
668,3454993,17638,100-Cty CP TP Va Do Uong Vinatea-NR,,Y
669,3454994,17639,100-Cty TNHH Eikodo Viet Nam-NR,,Y
670,3454995,17639,100-Cty TNHH Eikodo Viet Nam-NR,,Y
671,3454996,17639,100-Cty TNHH Eikodo Viet Nam-NR,,Y
672,3454997,17639,100-Cty TNHH Eikodo Viet Nam-NR,,Y
679,3525167,20812,100-Cty CP TP ThNhien King Green-NR,,Y
687,3244892,14337,130-Cty TNHH VINH TIEN,,Y
695,3282731,10023,111-Cty Ajinomoto Bien Hoa ,,Y
702,3113220,20142,111-Cty TNHH Wilmar Mar.CLV-Sua ,,Y
703,3113222,20142,111-Cty TNHH Wilmar Mar.CLV-Sua ,,Y
705,3466390,20846,111-Cty Co Phan Tap Doan KIDO ,,Y
708,3467853,10023,111-Cty Ajinomoto Bien Hoa ,,Y
709,3214107,10023,111-Cty Ajinomoto Bien Hoa ,,Y
710,3216135,10023,111-Cty Ajinomoto Bien Hoa ,,Y
713,3217598,12547,131-Cty CP Uniben,,Y
715,3451265,12320,111-Cty TNHH MTV TNI,,Y
720,3337528,11119,110-Cty TNHH Lotte Viet Nam,,Y
721,3377186,10023,111-Cty Ajinomoto Bien Hoa ,,Y
735,3400708,11119,110-Cty TNHH Lotte Viet Nam,,Y
736,3401492,10023,111-Cty Ajinomoto Bien Hoa ,,Y
737,3401493,10023,111-Cty Ajinomoto Bien Hoa ,,Y
738,3401494,10023,111-Cty Ajinomoto Bien Hoa ,,Y
740,3422157,12320,111-Cty TNHH MTV TNI,,Y
741,3422161,12320,111-Cty TNHH MTV TNI,,Y
757,3290133,10023,111-Cty Ajinomoto Bien Hoa ,,Y
758,3290134,10023,111-Cty Ajinomoto Bien Hoa ,,Y
759,3298228,20846,111-Cty Co Phan Tap Doan KIDO ,,Y
766,3345933,10023,111-Cty Ajinomoto Bien Hoa ,,Y
767,3447980,20846,111-Cty Co Phan Tap Doan KIDO ,,Y
768,3229501,10023,111-Cty Ajinomoto Bien Hoa ,,Y
769,3231570,10023,111-Cty Ajinomoto Bien Hoa ,,Y
770,3232249,21018,100-Congty CP Phuc Long Heritage-NR,,Y
771,3232250,21018,100-Congty CP Phuc Long Heritage-NR,,Y
773,3341299,19939,100-Cty TNHH Muoi Thanh Phat-NR,,Y
786,3545693,11119,110-Cty TNHH Lotte Viet Nam,,Y
796,3201689,11119,110-Cty TNHH Lotte Viet Nam,0,N
797,3205668,11119,110-Cty TNHH Lotte Viet Nam,,Y
808,3538108,19219,130-Cty TNHH Nabati Viet Nam,,Y
848,3199340,12547,131-Cty CP Uniben,,Y
849,3199341,12547,131-Cty CP Uniben,,Y
850,3199342,12547,131-Cty CP Uniben,,Y
851,3199550,11119,110-Cty TNHH Lotte Viet Nam,,Y
853,3408152,19219,130-Cty TNHH Nabati Viet Nam,,Y
856,3495684,11119,110-Cty TNHH Lotte Viet Nam,,Y
857,3502829,11119,110-Cty TNHH Lotte Viet Nam,,Y
859,3503221,10023,111-Cty Ajinomoto Bien Hoa ,,Y
860,3503267,17639,100-Cty TNHH Eikodo Viet Nam-NR,,Y
