STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS
93,3102395,11119,110-Cty TNHH Lotte Viet Nam,,N
94,3103381,10985,100-Cty TM&PT Cong Nghe Kolend,,N
95,3103382,10985,100-Cty TM&PT Cong Nghe Kolend,,N
96,3103653,15348,130-CTY CP SX Tra Hung Phat,KD nhung ban  cham,Y
97,3103654,15348,130-CTY CP SX Tra Hung Phat,,N
98,3283554,11773,110-CTy CP SX Nhua Duy Tan,,N
99,3284188,20846,111-Cty Co Phan Tap Doan KIDO ,kd binh thuong,Y
100,3284196,20846,111-Cty Co Phan Tap Doan KIDO ,,N
101,3329700,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,,N
102,3368148,11773,110-CTy CP SX Nhua Duy Tan,,N
103,3368149,11773,110-CTy CP SX Nhua Duy Tan,,N
104,3368150,11773,110-CTy CP SX Nhua Duy Tan,,N
105,3368151,11773,110-CTy CP SX Nhua Duy Tan,,N
106,3368786,20846,111-Cty Co Phan Tap Doan KIDO ,,N
107,3475382,16964,100-CTy TNHH Tan Hop Thanh,,N
108,3475383,16964,100-CTy TNHH Tan Hop Thanh,,N
109,3475665,16964,100-CTy TNHH Tan Hop Thanh,,N
110,3476194,11773,110-CTy CP SX Nhua Duy Tan,,N
111,3476195,11773,110-CTy CP SX Nhua Duy Tan,,N
112,3476196,11773,110-CTy CP SX Nhua Duy Tan,,N
113,3476198,11773,110-CTy CP SX Nhua Duy Tan,,N
114,3476199,11773,110-CTy CP SX Nhua Duy Tan,,N
115,3476200,11773,110-CTy CP SX Nhua Duy Tan,,N
116,3476201,11773,110-CTy CP SX Nhua Duy Tan,,N
117,3476202,11773,110-CTy CP SX Nhua Duy Tan,,N
118,3538419,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),,N
119,3543870,11773,110-CTy CP SX Nhua Duy Tan,,N
120,3544246,11773,110-CTy CP SX Nhua Duy Tan,,N
121,3218628,11773,110-CTy CP SX Nhua Duy Tan,,N
122,3517621,11773,110-CTy CP SX Nhua Duy Tan,,N
123,3541545,11773,110-CTy CP SX Nhua Duy Tan,,N
124,3557777,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),,N
125,3557783,11773,110-CTy CP SX Nhua Duy Tan,,N
126,3545292,16760,110-Cua Hang Hue Lam,,N
127,3557782,11773,110-CTy CP SX Nhua Duy Tan,,N
128,3554246,11773,110-CTy CP SX Nhua Duy Tan,,N
129,3534601,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),,N
130,3348367,16964,100-CTy TNHH Tan Hop Thanh,,N
131,3348368,16964,100-CTy TNHH Tan Hop Thanh,,N
132,3348492,11119,110-Cty TNHH Lotte Viet Nam,,N
133,3448562,11773,110-CTy CP SX Nhua Duy Tan,,N
134,3448564,11773,110-CTy CP SX Nhua Duy Tan,,N
135,3419927,11773,110-CTy CP SX Nhua Duy Tan,,N
136,3496755,20846,111-Cty Co Phan Tap Doan KIDO ,,N
137,3496756,20846,111-Cty Co Phan Tap Doan KIDO ,,N
138,3132145,15790,110-CTy CP HMP My Hao,,N
139,3132228,15790,110-CTy CP HMP My Hao,,N
140,3173260,11841,130-Cty TNHH Saigon Ve Wong,,N
141,3385771,11773,110-CTy CP SX Nhua Duy Tan,,N
142,3386499,15506,111-Cty Bot giat LIX-NR,,N
143,3386500,15506,111-Cty Bot giat LIX-NR,,N
144,3386501,15506,111-Cty Bot giat LIX-NR,,N
145,3386502,15506,111-Cty Bot giat LIX-NR,,N
146,3386503,15506,111-Cty Bot giat LIX-NR,,N
147,3386504,15506,111-Cty Bot giat LIX-NR,,N
148,3386505,15506,111-Cty Bot giat LIX-NR,,N
149,3386506,15506,111-Cty Bot giat LIX-NR,,N
150,3386507,15506,111-Cty Bot giat LIX-NR,,N
151,3386508,15506,111-Cty Bot giat LIX-NR,,N
152,3386509,15506,111-Cty Bot giat LIX-NR,,N
153,3491227,15506,111-Cty Bot giat LIX-NR,,N
154,3491953,15800,110-Cty TNHH 1TV Tri Hoi,,N
155,3008485,12483,110-Cty TNHH SXTM TyTy(HMP),,N
156,3430007,16964,100-CTy TNHH Tan Hop Thanh,,N
157,3520753,11773,110-CTy CP SX Nhua Duy Tan,,N
158,3005069,11266,110-Cty CP Tap Doan Muoi Mien Nam,,N
159,3005070,11266,110-Cty CP Tap Doan Muoi Mien Nam,kd binh thuong,Y
160,3005073,10023,111-Cty Ajinomoto Bien Hoa ,kd binh thuong,Y
161,3005075,10023,111-Cty Ajinomoto Bien Hoa ,kd binh thuong,Y
162,3005077,10023,111-Cty Ajinomoto Bien Hoa ,,N
163,3225551,20846,111-Cty Co Phan Tap Doan KIDO ,,N
164,3295021,11773,110-CTy CP SX Nhua Duy Tan,,N
165,3295023,11773,110-CTy CP SX Nhua Duy Tan,,N
166,3295195,19028,110-Cty CP Vinamit-NR,,N
167,3295196,19028,110-Cty CP Vinamit-NR,,N
168,3295197,19028,110-Cty CP Vinamit-NR,,N
169,3295198,19028,110-Cty CP Vinamit-NR,,N
170,3295199,19028,110-Cty CP Vinamit-NR,,N
171,3295200,19028,110-Cty CP Vinamit-NR,,N
172,3295355,10023,111-Cty Ajinomoto Bien Hoa ,,N
173,3295614,15506,111-Cty Bot giat LIX-NR,,N
174,3341297,19939,100-Cty TNHH Muoi Thanh Phat-NR,kd binh thuong,Y
175,3341298,19939,100-Cty TNHH Muoi Thanh Phat-NR,,N
176,3453969,11119,110-Cty TNHH Lotte Viet Nam,,N
177,3412002,11773,110-CTy CP SX Nhua Duy Tan,,N
178,3497612,16964,100-CTy TNHH Tan Hop Thanh,,N
179,3497823,15506,111-Cty Bot giat LIX-NR,,N
180,3505767,19219,130-Cty TNHH Nabati Viet Nam,,N
181,3403438,11773,110-CTy CP SX Nhua Duy Tan,,N
182,3533694,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),,N
183,3533695,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),,N
184,3372479,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,,N
185,3459960,11773,110-CTy CP SX Nhua Duy Tan,,N
186,3556029,11773,110-CTy CP SX Nhua Duy Tan,,N
187,3490336,11773,110-CTy CP SX Nhua Duy Tan,,N
188,3050100,14337,130-Cty TNHH VINH TIEN,,N
189,3054454,11266,110-Cty CP Tap Doan Muoi Mien Nam,,N
190,3054513,14337,130-Cty TNHH VINH TIEN,kd binh thuong,Y
191,3054515,14337,130-Cty TNHH VINH TIEN,,N
192,3054516,14337,130-Cty TNHH VINH TIEN,,N
193,3054518,14337,130-Cty TNHH VINH TIEN,,N
194,3054519,14337,130-Cty TNHH VINH TIEN,,N
195,3054520,14337,130-Cty TNHH VINH TIEN,,N
196,3054535,15348,130-CTY CP SX Tra Hung Phat,,N
197,3054635,15790,110-CTy CP HMP My Hao,,N
198,3054651,12483,110-Cty TNHH SXTM TyTy(HMP),,N
199,3055152,11773,110-CTy CP SX Nhua Duy Tan,,N
200,3055153,11773,110-CTy CP SX Nhua Duy Tan,,N
201,3055154,11773,110-CTy CP SX Nhua Duy Tan,,N
202,3055204,11773,110-CTy CP SX Nhua Duy Tan,,N
203,3257943,16760,110-Cua Hang Hue Lam,,N
204,3257947,16760,110-Cua Hang Hue Lam,,N
205,3257948,16760,110-Cua Hang Hue Lam,,N
206,3258064,10023,111-Cty Ajinomoto Bien Hoa ,,N
207,3260451,11773,110-CTy CP SX Nhua Duy Tan,,N
208,3260454,11773,110-CTy CP SX Nhua Duy Tan,,N
209,3314153,15506,111-Cty Bot giat LIX-NR,,N
210,3314154,15506,111-Cty Bot giat LIX-NR,,N
211,3314547,11773,110-CTy CP SX Nhua Duy Tan,,N
212,3357483,16964,100-CTy TNHH Tan Hop Thanh,,N
213,3097779,15348,130-CTY CP SX Tra Hung Phat,,N
214,3327143,16964,100-CTy TNHH Tan Hop Thanh,,N
215,3327144,16964,100-CTy TNHH Tan Hop Thanh,,N
216,3123559,12483,110-Cty TNHH SXTM TyTy(HMP),,N
217,3382940,11773,110-CTy CP SX Nhua Duy Tan,,N
218,3382941,11773,110-CTy CP SX Nhua Duy Tan,,N
219,3383606,13468,100-CTY TNHH SAMRAN-NR,,N
220,3383607,13468,100-CTY TNHH SAMRAN-NR,,N
221,3383608,13468,100-CTY TNHH SAMRAN-NR,,N
222,3383609,13468,100-CTY TNHH SAMRAN-NR,,N
223,3397927,11011,100-CT TNHH SX Do Gia DungElmich-NR,,N
224,3488561,17259,100-Cty TNHH Le Trung Thien-NR,,N
