ITEM,VENDOR,STATUS
3542948,16964,N
3542949,16964,N
3542950,16964,N
3542951,16964,N
3387567,16964,N
3387568,16964,N
3387569,16964,N
3327144,16964,N
3440906,16964,N
3298487,16964,N
3298488,16964,N
3298489,16964,N
3433469,16964,N
3352971,16964,N
3352974,16964,N
3477800,18833,N
3477799,18833,N
3473447,18833,N
3477798,18833,N
3520312,20888,N
3520313,20888,N
3540798,20888,N
3054635,15790,N
3463141,15790,N
3463139,15790,N
3463140,15790,N
3390942,15790,N
3463145,15790,N
3466392,15790,N
3463144,15790,N
3463138,15790,N
3132228,15790,N
3463142,15790,N
3463143,15790,N
3282735,16760,N
3288046,15800,N
3284516,15506,N
3320019,15506,N
3184823,15506,N
3184818,15506,N
3295614,15506,N
3184824,15506,N
3343735,15506,N
3386500,15506,N
3386499,15506,N
3437745,15506,N
3285331,15800,N
3384314,15800,N
3491953,15800,N
3196368,15800,N
3196365,15800,N
3196367,15800,N
3271310,16760,N
3467305,15790,N
3463102,15790,N
3196366,15800,N
3196370,15800,N
3296686,15506,N
3513553,20779,N
3390945,15790,N
3137589,15790,N
3257943,16760,N
3282737,16760,N
3491227,15506,N
3525116,20484,N
3501641,20484,N
3523764,17559,N
3452217,17559,N
3500596,17559,N
3523765,17559,N
3527979,17559,N
3452218,17559,N
3501639,20484,N
3503303,20536,N
3524461,20536,N
3503302,20536,N
3503301,20536,N
3524462,20536,N
3501640,20484,N
3515340,17733,N
3515339,17733,N
3515343,17733,N
3515342,17733,N
3521131,17733,N
3515341,17733,N
3422432,16506,N
3372481,16506,N
3269076,16506,N
3372479,16506,N
3422431,16506,N
3449108,16506,N
3493892,16506,N
3493891,16506,N
3525066,21076,N
3525067,21076,N
3525068,21076,N
3525069,21076,N
3008472,14653,N
3282736,16760,N
3452211,17559,N
3473446,17559,N
3452223,17559,N
3452220,17559,N
3523766,17559,N
3452222,17559,N
3329700,16506,N
3537640,20536,N
3541458,15800,N
3541461,15800,N
3541459,15800,N
3541462,15800,N
3541457,15800,N
3541460,15800,N
3525114,17733,N
3527980,17733,N
3537271,17733,N
3525115,17733,N
3008482,12483,N
3008486,12483,N
3008485,12483,N
3008490,12483,N
3054651,12483,N
3123559,12483,N
3008478,12483,N
3008479,12483,N
