STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS
357,3440951,17259,100-Cty TNHH Le Trung Thien-NR,,N
358,3440952,17259,100-Cty TNHH Le Trung Thien-NR,,N
359,3440953,17259,100-Cty TNHH Le Trung Thien-NR,,N
360,3440955,17259,100-Cty TNHH Le Trung Thien-NR,,N
361,3512339,11119,110-Cty TNHH Lotte Viet Nam,,N
369,3521651,11119,110-Cty TNHH Lotte Viet Nam,,N
370,3521652,11119,110-Cty TNHH Lotte Viet Nam,,N
371,3003245,20846,111-Cty Co Phan Tap Doan KIDO ,kd binh thuong,Y
372,3003246,20846,111-Cty Co Phan Tap Doan KIDO ,,N
373,3003356,20846,111-Cty Co Phan Tap Doan KIDO ,,N
374,3003358,20846,111-Cty Co Phan Tap Doan KIDO ,kd binh thuong,Y
375,3003359,20846,111-Cty Co Phan Tap Doan KIDO ,,N
376,3003360,20846,111-Cty Co Phan Tap Doan KIDO ,kd binh thuong,Y
377,3003368,20846,111-Cty Co Phan Tap Doan KIDO ,kd binh thuong,Y
378,3003369,20846,111-Cty Co Phan Tap Doan KIDO ,kd binh thuong,Y
379,3003383,20846,111-Cty Co Phan Tap Doan KIDO ,,N
380,3003388,20846,111-Cty Co Phan Tap Doan KIDO ,,N
381,3003389,20846,111-Cty Co Phan Tap Doan KIDO ,,N
382,3003392,20846,111-Cty Co Phan Tap Doan KIDO ,,N
383,3003424,20846,111-Cty Co Phan Tap Doan KIDO ,,N
384,3003425,20846,111-Cty Co Phan Tap Doan KIDO ,,N
394,3110011,11119,110-Cty TNHH Lotte Viet Nam,,N
395,3110012,11119,110-Cty TNHH Lotte Viet Nam,KD nhung ban  cham,Y
396,3334803,20944,111-Cty TNHH Luong Thuc Angimex-NR,,N
397,3334806,20944,111-Cty TNHH Luong Thuc Angimex-NR,kd binh thuong,Y
401,3460189,11119,110-Cty TNHH Lotte Viet Nam,,N
402,3480381,21018,100-Congty CP Phuc Long Heritage-NR,,N
412,3500252,20846,111-Cty Co Phan Tap Doan KIDO ,,N
415,3158922,20944,111-Cty TNHH Luong Thuc Angimex-NR,,N
429,3004519,12015,130-CTY TNHH TM&CBTP Tien Du,,N
430,3004551,12015,130-CTY TNHH TM&CBTP Tien Du,,N
432,3224617,11119,110-Cty TNHH Lotte Viet Nam,,N
433,3495074,19219,130-Cty TNHH Nabati Viet Nam,,N
446,3373113,19219,130-Cty TNHH Nabati Viet Nam,kd binh thuong,Y
451,3529243,19219,130-Cty TNHH Nabati Viet Nam,,N
452,3529244,19219,130-Cty TNHH Nabati Viet Nam,,N
453,3529245,19219,130-Cty TNHH Nabati Viet Nam,,N
454,3529246,19219,130-Cty TNHH Nabati Viet Nam,,N
455,3529247,19219,130-Cty TNHH Nabati Viet Nam,,N
456,3529248,19219,130-Cty TNHH Nabati Viet Nam,,N
457,3530120,20846,111-Cty Co Phan Tap Doan KIDO ,,N
458,3530121,20846,111-Cty Co Phan Tap Doan KIDO ,,N
459,3530295,20846,111-Cty Co Phan Tap Doan KIDO ,,N
460,3530491,19219,130-Cty TNHH Nabati Viet Nam,,N
465,3530862,20812,100-Cty CP TP ThNhien King Green-NR,,N
466,3433445,20142,111-Cty TNHH Wilmar Mar.CLV-Sua ,KD nhung ban rat cham,Y
474,3524070,20734,100-Cty CP Dau Tu Hai Thien Minh-NR,,N
475,3524071,20734,100-Cty CP Dau Tu Hai Thien Minh-NR,,N
476,3524072,20734,100-Cty CP Dau Tu Hai Thien Minh-NR,,N
477,3524202,11119,110-Cty TNHH Lotte Viet Nam,,N
478,3524289,10023,111-Cty Ajinomoto Bien Hoa ,KD nhung ban rat cham,Y
485,3040978,11841,130-Cty TNHH Saigon Ve Wong,,N
486,3040979,11841,130-Cty TNHH Saigon Ve Wong,kd binh thuong,Y
487,3040982,11841,130-Cty TNHH Saigon Ve Wong,,N
488,3040983,11841,130-Cty TNHH Saigon Ve Wong,kd binh thuong,Y
489,3040988,11841,130-Cty TNHH Saigon Ve Wong,,N
490,3255354,20846,111-Cty Co Phan Tap Doan KIDO ,,N
496,3312942,20846,111-Cty Co Phan Tap Doan KIDO ,,N
499,3356234,10023,111-Cty Ajinomoto Bien Hoa ,,N
501,3459106,19939,100-Cty TNHH Muoi Thanh Phat-NR,,N
504,3446824,20846,111-Cty Co Phan Tap Doan KIDO ,,N
506,3468909,12320,111-Cty TNHH MTV TNI,,N
510,3150386,11119,110-Cty TNHH Lotte Viet Nam,KD nhung ban  cham,Y
512,3192836,10023,111-Cty Ajinomoto Bien Hoa ,,N
518,3494751,12547,131-Cty CP Uniben,,N
519,3286741,10023,111-Cty Ajinomoto Bien Hoa ,,N
524,3084503,15348,130-CTY CP SX Tra Hung Phat,,N
525,3084504,15348,130-CTY CP SX Tra Hung Phat,,N
526,3365210,11119,110-Cty TNHH Lotte Viet Nam,KD nhung ban  cham,Y
527,3365211,11119,110-Cty TNHH Lotte Viet Nam,KD nhung ban  cham,Y
530,3276842,11119,110-Cty TNHH Lotte Viet Nam,,N
531,3276843,11119,110-Cty TNHH Lotte Viet Nam,,N
534,3278389,16701,100-Cty CPTP Binh Tay-NR,,N
535,3278390,16701,100-Cty CPTP Binh Tay-NR,,N
536,3278393,20944,111-Cty TNHH Luong Thuc Angimex-NR,,N
537,3278394,20944,111-Cty TNHH Luong Thuc Angimex-NR,,N
539,3365055,20944,111-Cty TNHH Luong Thuc Angimex-NR,,N
542,3455948,17666,100-Cty CP SXTM Tai Tai-NR,,N
549,3510697,20734,100-Cty CP Dau Tu Hai Thien Minh-NR,,N
550,3510698,20734,100-Cty CP Dau Tu Hai Thien Minh-NR,,N
551,3510699,20734,100-Cty CP Dau Tu Hai Thien Minh-NR,,N
552,3510700,20734,100-Cty CP Dau Tu Hai Thien Minh-NR,,N
553,3175364,20142,111-Cty TNHH Wilmar Mar.CLV-Sua ,,N
554,3403158,12547,131-Cty CP Uniben,kd binh thuong,Y
555,3403160,12547,131-Cty CP Uniben,kd binh thuong,Y
556,3403162,12547,131-Cty CP Uniben,kd binh thuong,Y
557,3413710,12320,111-Cty TNHH MTV TNI,,N
558,3413711,12320,111-Cty TNHH MTV TNI,,N
559,3413712,12320,111-Cty TNHH MTV TNI,,N
599,3318852,11119,110-Cty TNHH Lotte Viet Nam,,N
601,3360436,19219,130-Cty TNHH Nabati Viet Nam,,N
602,3361960,11119,110-Cty TNHH Lotte Viet Nam,,N
603,3532867,10023,111-Cty Ajinomoto Bien Hoa ,,N
606,3533269,20846,111-Cty Co Phan Tap Doan KIDO ,,N
607,3533840,20846,111-Cty Co Phan Tap Doan KIDO ,,N
616,3536326,10023,111-Cty Ajinomoto Bien Hoa ,,N
625,3126487,10023,111-Cty Ajinomoto Bien Hoa ,,N
634,3384346,19219,130-Cty TNHH Nabati Viet Nam,,N
635,3384347,19219,130-Cty TNHH Nabati Viet Nam,,N
639,3437747,20846,111-Cty Co Phan Tap Doan KIDO ,,N
643,3509078,15348,130-CTY CP SX Tra Hung Phat,,N
649,3519042,20812,100-Cty CP TP ThNhien King Green-NR,,N
650,3519043,20812,100-Cty CP TP ThNhien King Green-NR,,N
651,3519044,20812,100-Cty CP TP ThNhien King Green-NR,kd binh thuong,Y
652,3519045,20812,100-Cty CP TP ThNhien King Green-NR,kd binh thuong,Y
657,3352387,19219,130-Cty TNHH Nabati Viet Nam,,N
660,3352990,11119,110-Cty TNHH Lotte Viet Nam,,N
