STRNUM,STRNAM,STCITY,STSDAT,STPOLL,STRHDO
2014,CH Co.opFood Kenh Tan Hoa,"Q.Tan Phu, HCM",180604,Y,S
2015,CH CFood Truong Phuoc Phan 169,"Binh Tan, HCM",180604,Y,S
2016,CH Co.opFood Ha Huy Giap 302,HCM,180604,Y,S
20131,TC CH Co.opFood Duong So 6,Binh Duong,180604,N,S
20141,TC CH Co.opFood Kenh Tan Hoa,Binh Duong,180604,N,S
20151,TC CH CF Truong Phuoc Phan 169,Binh Duong,180604,N,S
20161,TC CH CFood Ha Huy Giap 302,Binh Duong,180604,N,S
9208,CH Co.opFood BH Tran Thi Hoa,"TP.Bien Hoa,Dong Nai",180604,Y,S
940,Head office-CF Khu Vuc Can Tho,"Q.NinhKieu,TP.CanTho",180619,N,O
9401,TC Co.opFood Khu Vuc Can Tho,Binh Duong,180619,N,S
9402,CH Co.opFood Khu Vuc Can Tho,"Q.NinhKieu,TP.CanTho",180619,Y,S
9403,NKD-CHCF CT Ng Thi Minh Khai07,"Q.NinhKieu,TP.CanTho",180619,N,S
9404,NKD-CH CFood CT Pham Hung 171,TP.Can Thho,180619,N,S
2017,CH Co.opFood Tan Son Nhi 387,HCM,180625,Y,S
2018,CH Co.opFood Savimex,"Q7, HCM",180625,Y,S
2019,CH Co.opFood Phan Van Hon 151,"Q.Hoc Mon, HCM",180625,Y,S
2020,CH Co.opFood Nguyen Van Kha198,"H.Cu Chi, HCM",180625,Y,S
20171,TC CH CoopFood Tan Son Nhi 387,Binh Duong,170625,N,S
20181,TC CH Co.opFood Savimex,Binh Duong,180625,N,S
20191,TC CH CFood Phan Van Hon 151,Binh Duong,180625,N,S
20201,TC CH CFood Nguyen Van Kha 198,Binh Duong,180625,N,S
69029,CH NQ Dream Home,HCM,180625,Y,S
69030,NKD-CH NQ 556 Nguyen Kiem,HCM,180627,N,S
534,Co.opMart Go Dau,Tay Ninh,180704,Y,S
535,Co.opMart Tan Chau An Giang,"TX Tan Chau,An Giang",180704,Y,S
5341,Trung chuyen Go Dau-534,Binh Duong,180704,N,S
5351,Trung chuyen Tan Chau An Giang,Binh Duong,180704,N,S
2021,CH Co.opFood CC 4S Linh Dong,"P.Linh Dong,Thu Duc",180709,Y,S
20211,TC CH CoopFood CC 4S Linh Dong,Binh Duong,180709,N,S
9304,NKD-CH Co.opFood BD An Binh,Binh Duong,180709,N,S
69031,CH NQ Nguyen Van Dau,HCM,180710,Y,S
9406,CH CF CT Nguyen Van Cu Noi Dai,"Ninh Kieu,TP.Can Tho",180711,Y,S
9405,CH Co.opFood CT Tran Viet Chau,Can Tho,180711,Y,S
9407,NKD-CH Co.opFood CT Mau Than,Can Tho,180711,N,S
9408,CH Co.opFood CT Tay Do,"Thanh, CaiRang, CTho",180711,Y,S
9409,CH Co.opFood CT Le Hong Phong,"Q.Binh Thuy,Can Tho",180711,Y,S
9410,NKD-CHCFood CT Tran Quang Dieu,"Binh Thuy, Can Tho",180711,N,S
69032,CH NQ Sky 9,"P.Phu Huu, Q9, HCM",180712,Y,S
69033,CH NQ Ton Dan,HCM,180727,N,S
2022,NKD-CH Co.opFood Tan Son,HCM,180727,N,S
2023,CH Co.opFood DS2 Truong Tho,HCM,180727,Y,S
2024,NKD-CH Co.opFood Vuon Lai,HCM,180727,N,S
2025,CH Co.opFood Tan Xuan,HCM,180727,Y,S
2026,NKD-CH CFood Phan Sao Nam 87,HCM,180727,N,S
20221,TC CH Co.opFood Tan Son,Binh Duong,180727,N,S
20231,TC CH Co.opFood DS2 Truong Tho,Binh Duong,180727,N,S
20241,TC CH Co.opFood Vuon Lai,Binh Duong,180727,N,S
20251,TC CH Co.opFood Tan Xuan,Binh Duong,180727,N,S
20261,TC CH CoopFood Phan Sao Nam 87,Binh Duong,180727,N,S
9305,NKD-CH Co.opFood BD Phu Loi,Binh Duong,180727,N,S
9111,NKD-CH CFood HN Vinata Tower,"Cau Giay,TP.Ha Noi",180815,N,S
9112,NKD-CH Co.opFood HN Gemek,TP.Ha Noi,180815,N,S
9113,NKD-CH CFood HN Nguyen DucCanh,"Q.HoangMai,TP.Ha Noi",180815,N,S
9114,CH Co.opFood HN Anland,TP.Ha Noi,180815,Y,S
9115,CH Co.opFood HN Ecohome,"Bac Tu Liem, Ha Noi",180815,Y,S
9116,CH Co.opFood HN Nghia Do,"Co Nhue 1,BacTuLiem",180815,Y,S
2027,CH Co.opFood Tang Nhon Phu 26,HCM,180822,Y,S
2028,CH Co.opFood KDC Thanh Nien,HCM,180822,Y,S
2029,CH Co.opFood CC Dat Gia,"Thu Duc, HCM",180822,Y,S
2030,CH CFood DS3 Hiep Binh Phuoc,HCM,180822,Y,S
20271,TC CH CFood Tang Nhon Phu 26,Binh Duong,180822,N,S
20281,TC CH Co.opFood KDC Thanh Nien,Binh Duong,180822,N,S
20291,TC CH Co.opFood CC Dat Gia,Binh Duong,180822,N,S
20301,TC CH CF DS3 Hiep Binh Phuoc,Binh Duong,180822,N,S
9306,NKD-CH Co.opFood BD CMT8,Binh Duong,180822,N,S
69034,NKD-CH NQ Masteri Millennium,HCM,180830,N,S
69035,NKD-CH NQ Phu Huu,HCM,180830,N,S
536,Co.opMart Duyen Hai,Tra Vinh,180910,Y,S
537,Co.opMart Viet Tri,"Viet Tri, T.Phu Tho",180910,Y,S
538,Co.opMart Phuoc Dong,"H.Go Dau, T.Tay Ninh",180910,Y,S
5361,Trung chuyen Duyen Hai-536,Binh Duong,180910,N,S
5371,Trung chuyen Viet Tri-537,Binh Duong,180910,N,S
5381,Trung chuyen Phuoc Dong-538,Binh Duong,180910,N,S
69036,NKD-CH NQ Nguyen Anh Thu,"Q12, HCM",180914,N,S
69037,NKD-CH NQ Thao Dien Riverside,HCM,170926,N,S
69038,CH NQ Phuoc Binh,HCM,180926,Y,S
69039,CH NQ Tang Long,HCM,180926,Y,S
69040,CH NQ Dong Tang Long,"Q9, HCM",181002,Y,S
2031,CH Co.opFood Tinh Lo 43,HCM,181003,Y,S
2032,CH CoopFood Nguyen Thi Soc 153,"Hoc Mon, HCM",181003,Y,S
20311,TC CH Co.opFood Tinh Lo 43,Binh Duong,181003,N,S
20321,TC CH CFood Nguyen Thi Soc 153,Binh Duong,181003,N,S
9209,NKD-CH CF BH Hoang Ba Bich 113,"TP.Bien Hoa,Dong Nai",181003,N,S
9210,CH CFood BH Huynh Van Nghe 17,"TP.Bien Hoa,Dong Nai",181003,Y,S
9211,NKD-CH CFood BH Dong Khoi 98,"TP.Bien Hoa,Dong Nai",181003,N,S
806,Trung tam phan phoi BinhDuong2,"Binh Hoa,Thuan An,BD",181015,N,W
8061,TTPP-Coopfood (KM),"Binh Hoa,Thuan An,BD",181015,N,S
8882,Kho TC TPTS (Transfer CNPT),Binh Duong,181022,N,S
2033,CH Co.opFood Ton Dan,HCM,181026,Y,S
20331,TC CH Co.opFood Ton Dan,Binh Duong,181026,N,S
2034,CH Co.opFood Hau Lan,HCM,181026,Y,S
20341,TC CH Co.opFood Hau Lan,Binh Duong,181026,N,S
9307,NKD-CH CF BD Nguyen Tri Phuong,Binh Duong,181026,N,S
69041,CH NQ Binh Hoa,HCM,181103,Y,S
539,Co.opMart Phan Ri Cua,Binh Thuan,181103,Y,S
540,Co.opMart Can Giuoc,Long An,181103,Y,S
5391,Trung chuyen Phan Ri Cua-539,Binh Duong,181103,N,S
5401,Trung chuyen Can Giuoc-540,Binh Duong,181103,N,S
2035,CH Co.opFood Tran Van Danh 12,HCM,181105,Y,S
2036,NKD-CH Co.opFood CC Florita,HCM,181105,N,S
2037,NKD-CH CFood Phan Van Tri 399,HCM,181105,N,S
2038,NKD-CH Co.opFood Phan Anh 173,"Q.Binh Tan, HCM",181105,N,S
2039,CH CoopFood Nguyen Huu Tien 11,"Q.Tan Phu, HCM",181105,Y,S
2040,CH Co.opFood Ho Van Long 30,"Q.Binh Tan, HCM",181105,Y,S
2041,CH Co.opFood Thanh Loc 17,"Q12, HCM",181105,Y,S
2042,CH Co.opFood Nguyen Xi 247,HCM,181105,Y,S
20351,TC CH CFood Tran Van Danh 12,Binh Duong,181105,N,S
20361,TC CH Co.opFood CC Florita,Binh Duong,181105,N,S
20371,TC CH CFood Phan Van Tri 399,Binh Duong,181105,N,S
20381,TC CH Co.opFood Phan Anh 173,Binh Duong,181105,N,S
20391,TC CH CFood Nguyen Huu Tien 11,Binh Duong,181105,N,S
20401,TC CH Co.opFood Ho Van Long 30,Binh Duong,181105,N,S
20411,TC CH Co.opFood Thanh Loc 17,Binh Duong,181105,N,S
20421,TC CH Co.opFood Nguyen Xi 247,Binh Duong,181105,N,S
9117,NKD-CH CoopFood HN Vinaconex 3,"Q.NamTuLiem, Ha Noi",181115,N,S
9118,NKD-CH Co.opFood HN OCT5,"Q.BacTuLiem, Ha Noi",181115,N,S
306,Co-opXtra Pham Van Dong,"Q.Thu Duc, HCM",181121,Y,S
906,TC Co-opXtra Pham Van Dong-306,Binh Duong,181121,N,S
307,Co.opXtra Bien Hoa,Dong Nai,181121,N,S
907,TC Co-opXtra Bien Hoa-307,Binh Duong,181121,N,S
2043,CH Co.opFood CC Belleza,HCM,181126,Y,S
2044,CH Co.opFood Tan Chanh Hiep 10,"Q12, HCM",181126,Y,S
20431,TC CH Co.opFood CC Belleza,Binh Duong,181127,N,S
20441,TC CH CFood Tan Chanh Hiep 10,Binh Duong,181127,N,S
69042,KSD-CH NQ 556 Nguyen Kiem,HCM,181127,N,S
69043,CH NQ Song Huong,HCM,181127,Y,S
69044,NKD-CH NQ 203 Le Duc Tho,HCM,181127,N,S
9119,NKD-CH CFood HN FLC Pham Hung,TP.Ha Noi,181127,N,S
9120,CH Co.opFood HN VP2 Linh Dam,TP.Ha Noi,181127,Y,S
9121,NKD-CH CFood HN Tu Hiep Plaza,"H.Thanh Tri,TP.HaNoi",181127,N,S
541,Co.opMart Binh Tan 2,"Q.Binh Tan, HCM",181129,Y,S
542,Co.opMart Binh Thuy,Can Tho,181129,Y,S
543,Co.opMart Chau Thanh Tay Ninh,"H.ChauThanh,Tay Ninh",181129,Y,S
544,KSD-Co.opMart Phan Van Hon,"Q.12, HCM",181129,N,S
5411,Trung chuyen Binh Tan 2-541,Binh Duong,181129,N,S
5421,Trung chuyen Binh Thuy-542,Binh Duong,181129,N,S
5431,TChuyen Chau Thanh Tay Ninh,Binh Duong,181129,N,S
5441,Trung chuyen Phan Van Hon-544,Binh Duong,181129,N,S
5451,Trung chuyen Tieu Can-545,Binh Duong,181129,N,S
545,Co.opMart Tieu Can,Tra Vinh,181129,Y,S
546,Co.opMart Dong Phu,"H.DongPhu,Binh Phuoc",181129,Y,S
5461,Trung chuyen Dong Phu-546,Binh Duong,181129,N,S
2045,CH Co.opFood DS12 Truong Tho,HCM,181211,Y,S
2046,CH Co.opFood CC Eastern,"Q9, HCM",181211,Y,S
2047,CH Co.opFood CC Dragon Hill,"H.Nha Be, HCM",181211,Y,S
20451,TC CH CoopFood DS12 Truong Tho,Binh Duong,181211,N,S
20461,TC CH Co.opFood CC Eastern,Binh Duong,181211,N,S
20471,TC CH Co.opFood CC Dragon Hill,Binh Duong,181211,N,S
9212,NKD-CH Co.opFood BH Phuc Lam,Dong Nai,181211,N,S
69045,CH NQ Duong 48 Thu Duc,"Q.Thu Duc,HCM",181212,Y,S
69046,NKD-CH NQ Hiep Binh Phuoc,HCM,181212,N,S
9122,NKD-CH CFood HN C2 Xuan Dinh,"Q.BacTuLiem, Ha Noi",181212,N,S
9123,NKD-CH Co.opFood HN Valencia,"Q.LongBien,TP.Ha Noi",181220,N,S
9124,CH Co.opFood HN The K-Park,Ha Noi,181220,Y,S
9125,NKD-CH CF HN Thang LongVictory,Ha Noi,181220,N,S
69047,NKD-CH NQ Tan Mai,HCM,181221,N,S
547,Co.opMart Son Tra,"Q.Son Tra, Da Nang",181226,Y,S
5471,Trung chuyen Son Tra-547,Binh Duong,181226,N,S
2048,CH Co.opFood CC Him Lam Phu An,"PhuocLongA, Q9, HCM",181227,Y,S
2049,NKD-CH Co.opFood Tan Hoa Dong,HCM,181227,N,S
2050,CH Co.opFood Duong Thi Muoi465,"Q12, HCM",181227,Y,S
2051,CH Co.opFood Binh An,"P.Binh An, Q2, HCM",181227,Y,S
20481,TC CH CFood CC Him Lam Phu An,Binh Duong,181227,N,S
20491,TC CH Co.opFood Tan Hoa Dong,Binh Duong,181227,N,S
20501,TC CH CFood Duong Thi Muoi 465,Binh Duong,181227,N,S
20511,TC CH Co.opFood Binh An,Binh Duong,181227,N,S
9213,NKD-CH CF BH Hoang Ba Bich 373,"TP.Bien Hoa,Dong Nai",181227,N,S
9126,CH Co.opFood HN Kim Van Kim Lu,"Q.Hoang Mai,Ha Noi",190104,Y,S
9127,NKD-CH CFood HN An Binh City,"Q.BacTuLiem, Ha Noi",190104,N,S
9128,NKD-CH Co.opFood HN Dai Thanh,"H.ThanhTri,Tp Ha Noi",190117,N,S
69048,CH NQ Dinh Tien Hoang 45,HCM,190213,Y,S
9308,NKD-CH CFood BD Le Van Tach154,Binh Duong,190214,N,S
2052,CH Co.opFood Phan Xich Long 37,HCM,190214,Y,S
2053,NKD-CH Co.opFood Man Thien 96,"Q9, HCM",190214,N,S
2054,NKD-CH CFood Tinh Lo 15-1034,HCM,190214,N,S
2055,CH Co.opFood Nguyen Anh Thu699,HCM,190214,Y,S
2056,CH Co.opFood Vuon Lai 192,HCM,190214,Y,S
2057,CH CoopFood Nguyen Thi Dang367,"Q12, HCM",190214,Y,S
2058,NKD-CH Co.opFood Le Van Chi 69,"Q.Thu Duc, HCM",190214,N,S
2059,CH Co.opFood Tran Van Quang 86,HCM,190214,Y,S
2060,CH Co.opFood Tinh Lo 8-628,"H.Cu Chi, HCM",190214,Y,S
20521,TC CH CFood Phan Xich Long 37,Binh Duong,190214,N,S
20531,TC CH Co.opFood Man Thien 96,Binh Duong,190214,N,S
20541,TC CH CoopFood Tinh Lo 15-1034,Binh Duong,190214,N,S
20551,TC CH CFood Nguyen Anh Thu 699,Binh Duong,190214,N,S
20561,TC CH Co.opFood Vuon Lai 192,Binh Duong,190214,N,S
20571,TC CH CFood Nguyen Thi Dang367,Binh Duong,190214,N,S
20581,TC CH Co.opFood Le Van Chi 69,Binh Duong,190214,N,S
20591,TC CH CFood Tran Van Quang 86,Binh Duong,190214,N,S
20601,TC CH Co.opFood Tinh Lo 8-628,Binh Duong,190214,N,S
69049,NKD-CH NQ Phuoc Long,HCM,190216,N,S
9129,NKD-CH CFood HN Hong KongTower,"Q.Dong Da,TP Ha Noi",190304,N,S
9130,CH Co.opFood HN Athena Complex,"Q.Nam Tu Liem,Ha Noi",190304,Y,S
8883,Kho TPTS Dong goi,Di An-Binh Duong,190305,N,S
69050,NKD-CH NQ Nguyen Truong To,HCM,190306,N,S
9131,CH CFood HN Thanh Ha CIENCO 5,"H.Thanh Oai,Ha Noi",190318,Y,S
9132,NKD-CH Co.opFood HN Dinh Cong,"Q.Hoang Mai, Ha Noi",190318,N,S
69051,CH NQ Dang Thuy Tram,HCM,190321,Y,S
69052,NKD-CHNQ CD Cong Nghe Nong Lam,Binh Duong,190322,N,S
69053,CH NQ Citi Gate,HCM,190328,Y,S
69054,NKD-CH NQ Merita,HCM,190402,N,S
2061,KSD-CH Co.opFood Cu Xa Phu Lam,HCM,190405,N,S
2062,NKD-CH CFood Pham Dang Giang73,"Q.Binh Tan, HCM",190405,N,S
2063,CH Co.opFood Phan Van Han 182,HCM,190405,Y,S
9133,NKD-CH CFood HN Ngoai GiaoDoan,"Q.Bac Tu Liem,Ha Noi",190405,N,S
9134,CH CFood HN Xuan Mai Duong Noi,"Q.Ha Dong,TP.Ha Noi",190405,Y,S
9309,CH Co.opFood BD Vinh Phu 41,"TX ThuanAn,BinhDuong",190405,Y,S
20611,TC CH Co.opFood Cu Xa Phu Lam,Binh Duong,190405,N,S
20621,TC CH CFood Pham Dang Giang 73,Binh Duong,190405,N,S
20631,TC CH CoopFood Phan Van Han182,Binh Duong,190405,N,S
69055,NKD-CH NQ Xa Lo Ha Noi,HCM,190408,N,S
69056,CH NQ Topaz City,HCM,190408,Y,S
69057,NKD-CH NQ Cau Ong Dau,"Q.Thu Duc, TP.HCM",190408,N,S
2064,CH Co.opFood Van Kiep 31,HCM,190417,Y,S
20641,TC CH Co.opFood Van Kiep 31,Binh Duong,190417,N,S
9135,NKD-CH Co.opFood HN Dich Vong,"DichVong,CauGiay,HN",190422,N,S
9136,NKD-CH CFood HN 89 Phung Hung,TP.Ha Noi,190422,N,S
2065,CH CoopFood Truong Van Thanh68,"Q9, HCM",190426,Y,S
20651,TC CH CFood Truong Van Thanh68,Binh Duong,190426,N,S
69058,CH NQ Khu Dan Cu Dai Phuc,"Binh Chanh, HCM",190426,Y,S
9310,NKD-CH CFood BD Be Van Dan 44,Binh Duong,190426,N,S
69059,NKD-CH NQ 183 Nguyen Van Dau,HCM,190506,N,S
69060,CH NQ Trung Tuyen City,"Q12, HCM",190509,Y,S
9311,CH Co.opFood BD Xuyen A 209,Binh Duong,190509,Y,S
9411,CH CFood CT Tran Hoang Na 151,"Q.Ninh Kieu,Can Tho",190509,Y,S
9137,NKD-CH CFood HN South Building,"Q.Hoang Mai, Ha Noi",190517,N,S
69061,CH NQ Fuji Gia Binh,HCM,190518,Y,S
9138,CH Co.opFood HN Thai Ha CT4,Ha Noi,190528,Y,S
9139,CH Co.opFood HN Thai Ha HH,Ha Noi,190528,Y,S
69062,CH NQ Ben Hai,HCM,190530,Y,S
9312,NKD-CH CFood BD Nguyen Trai 87,Binh Duong,190530,N,S
2066,CH Co.opFood Tam Ha 64,HCM,190530,Y,S
2067,NKD-CH CFood Bui Huu Nghia 121,HCM,190530,N,S
20661,TC CH Co.opFood Tam Ha 64,Binh Duong,190530,N,S
20671,TC CH CFood Bui Huu Nghia 121,Binh Duong,190530,N,S
69063,NKD-CH NQ Nguyen Tuyen,"Q2, HCM",190613,N,S
9313,CH CFood BD Tran Hung Dao 325,Binh Duong,190613,Y,S
9412,NKD-CH CFood CT CC Tay Nguyen,"Q.Cai Rang,Can Tho",190613,N,S
69064,CH NQ The Pegasuite PhuongViet,HCM,190620,Y,S
69065,NKD-CH NQ Bac Hai,HCM,190620,N,S
2068,NKD-CH CFood NguyenThiDinh 556,"Q2, HCM",190622,N,S
2069,CH Co.opFood Le Van Luong 1187,"H.Nha Be, HCM",190624,Y,S
2070,CH Co.opFood No Trang Long 235,HCM,190624,Y,S
2071,NKD-CH Co.opFood Bau Cat 302,HCM,190624,N,S
2072,CH CFood CC Hoang Kim The Gia,HCM,190624,Y,S
2073,CH Co.opFood Lien Khu 4-5,"Q.Binh Tan, HCM",190624,Y,S
20681,TC CH CFood Nguyen Thi Dinh556,Binh Duong,190426,N,S
20691,TC CH CFood Le Van Luong 1187,Binh Duong,190624,N,S
20701,TC CH CFood No Trang Long 235,Binh Duong,190426,N,S
20721,TC CH CFood CC Hoang KimTheGia,Binh Duong,190624,N,S
20731,TC CH Co.opFood Lien Khu 4-5,Binh Duong,190624,N,S
9314,CH Co.opFood BD Ngo Thi Nham82,Binh Duong,190624,Y,S
9413,CH CFood CT Nguyen Van Cu 227,Can Tho,190624,Y,S
20711,TC CH Co.opFood Bau Cat 302,Binh Duong,190624,N,S
69066,CH NQ Trung Son,"H.Binh Chanh, HCM",190627,Y,S
69067,NKD-CH NQ An Phu Dong,HCM,190627,N,S
9140,NKD-CH CFood HN Nguyen Van Cu,"Q.LongBien,TP.Ha Noi",190701,N,S
2074,CH Co.opFood Le Thi Hoa 240,HCM,190708,Y,S
2075,CH Co.opFood Do Xuan Hop 729,HCM,190708,Y,S
2076,CH Co.opFood Tran Thi Co 292,HCM,190708,Y,S
20741,TC CH Co.opFood Le Thi Hoa 240,Binh Duong,190708,N,S
20751,TCCH Co.opFood Do Xuan Hop 729,Binh Duong,190708,N,S
20761,TCCH Co.opFood Tran Thi Co 292,Binh Duong,190708,N,S
9315,CH Co.opFood BD KDC Viet Sing,Binh Duong,190708,Y,S
809,Kho TPTS-Mien Bac,Bac Ninh,190717,N,S
69068,CH NQ Pho Dong,"Q2, HCM",190717,Y,S
69069,CH NQ Bong Sao,HCM,190722,Y,S
2077,CH Co.opFood Lam Van Ben 22,HCM,190731,Y,S
2078,CH CFood Nguyen Thai Binh 349,HCM,190731,Y,S
20771,TC CH Co.opFood Lam Van Ben 22,Binh Duong,190731,N,S
20781,TC CH CF Nguyen Thai Binh 349,Binh Duong,190731,N,S
9141,CH Co.opFood HN Mandarin,Ha Noi,190731,Y,S
9316,NKD-CH Co.opFood BD Nhi Dong,Binh Duong,190731,N,S
69070,CH NQ Gia Hoa,HCM,190802,Y,S
2079,CH Co.opFood DS9 Linh Tay,HCM,190802,Y,S
20791,TC CH Co.opFood DS9 Linh Tay,Binh Duong,190802,N,S
2080,CH Co.opFood Tran Van Muoi 12,"Hoc Mon, HCM",190809,Y,S
20801,TC CH CoopFood Tran Van Muoi12,Binh Duong,190809,N,S
69071,CF NQ Stown Tower,"Q.Thu Duc, HCM",190819,Y,S
548,Co.opXtra Premium,HCM,190821,Y,S
549,Co.opMart Hoang Van Thu,HCM,190821,Y,S
5481,Trung chuyen Xtra Premium-548,Binh Duong,190821,N,S
5491,Trung chuyen Hoang Van Thu,Binh Duong,190821,N,S
9414,CH Co.opFood CT Tran Vinh Kiet,"Ninh Kieu, Can Tho",190829,Y,S
9317,NKD-CH CF BD Thu Khoa Huan 106,Binh Duong,190829,N,S
69072,CF NQ Thu Thiem,HCM,190829,Y,S
550,KSD-Co.opMart Era Town,HCM,190830,N,S
9142,NKD-CH CFood HN Nguyen Khuyen,"Thanh Tri, Ha Noi",190902,N,S
9143,CH Co.opFood HN VP6 Linh Dam,"Hoang Mai, Ha Noi",190902,Y,S
9144,CH Co.opFood HN Sakura,Ha Noi,190902,Y,S
9415,NKD-CH CF CT Bui Quang TrinhG8,"Q.Cai Rang, Can Tho",190909,N,S
9502,CH Co.opFood LA Tan Kim,Long An,190913,Y,S
9501,TC CH Co.opFood Long Hau,Binh Duong,190913,N,S
950,Head office-CH CFood Long Hau,Long An,190913,N,O
551,CONG TY TNHH MTV MARFOUR,Ha Noi,190914,N,S
552,Co.opMart SCA - VICTORIA,Ha Noi,190914,Y,S
553,Co.opMart SCA - GOLDSILK,Ha Noi,190914,Y,S
554,Co.opMart SCA - GOLDENSILK,Ha Noi,190914,Y,S
555,Co.opMart SCA - LONG BIEN,Ha Noi,190914,Y,S
5521,Trung chuyen SCA VICTORIA-552,Binh Duong,190914,N,S
5531,Trung chuyen SCA GOLDSILK-553,Binh Duong,190914,N,S
5541,Trungchuyen SCA GOLDENSILK-554,Binh Duong,190914,N,S
5551,Trung chuyen SCA LONG BIEN-555,Binh Duong,190914,N,S
2081,NKD-CH CoopFood Le Thi Hong 40,HCM,190923,N,S
20811,TC CH Co.opFood Le Thi Hong 40,Binh Duong,190923,N,S
69073,CH NQ Ben Hai,HCM,190927,Y,S
2082,CH Co.opFood An Loc,HCM,191002,Y,S
2083,KSD-CH CoopFood LeVanKhuong551,"HiepThanh,Q12,HCM",191002,N,S
20821,TC CH Co.opFood An Loc,Binh Duong,191002,N,S
20831,TC CH CFood Le Van Khuong 551,Binh Duong,191002,N,S
556,Co.opMart To Ky,HCM,191003,Y,S
5561,Trung chuyen To Ky-556,Binh Duong,191003,N,S
557,Co.opMart SCA - Tay Ninh,Tay Ninh,191003,Y,S
5571,Trung chuyen SCA Tay Ninh-557,Binh Duong,191003,N,S
2085,CH Co.opFood Phan Van Hon 285,HCM,191004,Y,S
2086,CH Co.opFood Truong Chinh 22,"Q12, HCM",191004,Y,S
2087,CH Co.opFood Vision,"Q.Binh Tan, HCM",191004,Y,S
2088,CH Co.opFood Tam Phu,"Q.Thu Duc, HCM",191004,Y,S
2089,CH Co.opFood Sunview,Q.Thu Duc,191004,Y,S
2090,KSD-CH Co.opFood Tan Son Nhi,"Q.Tan Phu, HCM",191004,N,S
2091,CH Co.opFood Him Lam Cho Lon,HCM,191004,Y,S
20841,TC CH Co.opFood Son Ky 1,Binh Duong,191004,N,S
2084,KSD-CH Co.opFood Son Ky 1,HCM,191004,N,S
20851,TC CH CFood Phan Van Hon 285,Binh Duong,191004,N,S
20861,TC CH CFood Truong Chinh 22,Binh Duong,191004,N,S
20871,TC CH Co.opFood Vision,Binh Duong,191004,N,S
20881,TC CH Co.opFood Tam Phu,Binh Duong,191004,N,S
20891,TC CH Co.opFood Sunview,Binh Duong,191004,N,S
20901,TC CH Co.opFood Tan Son Nhi,Binh Duong,191004,N,S
20911,TC CH CoopFood Him Lam Cho Lon,Binh Duong,191004,N,S
558,CONG TY TNHH MTV MARFIVE,HCM,191004,N,S
559,Co.opMart SCA - Au Co,HCM,191008,Y,S
560,Co.opMart SCA - Pham Van Chieu,HCM,191008,Y,S
561,Co.opMart SCA - Cao Thang,HCM,191008,Y,S
5591,Trung chuyen SCA Au Co-559,Binh Duong,191008,N,S
5601,Tchuyen SCA Pham Van Chieu-560,Binh Duong,191008,N,S
5611,Trung chuyen SCA Cao Thang-561,Binh Duong,191008,N,S
9145,NKD-CH Co.opFood HN Vu Thanh,Ha Noi,191014,N,S
562,Co.opMart Thoai Son,An Giang,191022,Y,S
563,Co.opMart Tan Bien Tay Ninh,"H.Tan Bien, Tay Ninh",191022,Y,S
564,Co.opMart Duong Minh Chau,"Minh Chau, Tay Ninh",191022,Y,S
5621,Trung chuyen Thoai Son-562,Binh Duong,191022,N,S
5631,TChuyen Tan Bien Tay Ninh-563,Binh Duong,191020,N,S
5641,TChuyen Duong Minh Chau-564,Binh Duong,191022,N,S
9318,CH Co.opFood BD Tan Lap 55,"TX Di An,Binh Duong",191022,Y,S
2092,CH Co.opFood Dong Tang Long,"Q9, HCM",191023,Y,S
20921,TC CH Co.opFood Dong Tang Long,Binh Duong,191023,N,S
4200,CTY TNHH MTV CO.OP FINELIFE,HCM,191118,N,O
4201,FINELIFE FOODSTORE HA DO,HCM,191118,Y,S
42011,TC FINELIFE HA DO-4201,Binh Duong,191118,N,S
9503,CH Co.opFood Long Hau,"H.Can Giuoc, Long An",191119,Y,S
2093,CH Co.opFood CC Linh Tay Tower,HCM,191125,Y,S
20931,TC CH CFood CC Linh Tay Tower,Binh Duong,191125,N,S
9146,CH Co.opFood HN V7 The Vesta,Ha Noi,191125,Y,S
9147,NKD-CH Co.opFood HN Duong Buoi,"Q.Ba Dinh, Ha Noi",191204,N,S
9148,CH Co.opFood HN Tecco Skyville,"H.Thanh Tri, Ha Noi",191204,Y,S
565,Co.opMart Tam Binh,HCM,191207,Y,S
5651,Trung chuyen Tam Binh-565,Binh Duong,191207,N,S
2094,CH Co.opFood 9 View,HCM,191209,Y,S
2095,CH Co.opFood Thu Thiem Garden,HCM,191209,Y,S
20941,TC CH Co.opFood 9 View,Binh Duong,191209,N,S
20951,TC CH CFood Thu Thiem Garden,Binh Duong,191209,N,S
566,Co.opMart Cu M'gar,"H,Cu M'gar,Dak Lak",191210,Y,S
5661,Trung Chuyen Cu M'gar-566,Binh Duong,191210,N,S
9149,CH Co.opFood HN Hateco,"Q.NamTuLiem, Ha Noi",191217,Y,S
9150,CH Co.opFood HN Lucky House,Ha Noi,191221,Y,S
2096,CH CoopFood Tran Quoc Thao 171,HCM,191228,Y,S
20961,TC CH CFood Tran Quoc Thao 171,Binh Duong,191228,N,S
9416,CH Co.opFood CT Vo Truong Toan,Can Tho,191228,Y,S
9151,CH Co.opFood HN Dai Dong,"Q.Hoang Mai, Ha Noi",191231,Y,S
9152,CH Co.opFood HN Ho Tung Mau,"Liem, Ha Noi",191231,Y,S
9153,CH Co.opFood HN Nhan Chinh,"Q.Thanh Xuan, Ha Noi",191231,Y,S
