STRNUM,STRNAM,STCITY,STSDAT,STPOLL,STRHDO
6311,TC CH CFood Duong Dinh Hoi-100,HCM,161107,N,S
519,Co.opMart Thot Not,Can Tho,161107,Y,S
632,CH Co.opFood CC Carina,HCM,161122,Y,S
6321,TC CH CFood CC Carina-100,HCM,161122,N,S
69006,CH NQ Ngo Quyen,HCM,161124,Y,S
1311,CF Vung Tau Plaza,BRVT,161129,Y,S
69007,NKD-CH NQ Nam Long,HCM,161201,N,S
633,CH Co.opFood 397 Phan Huy Ich,HCM,161206,Y,S
6331,TC CH CFood397Phan Huy Ich-100,HCM,161206,N,S
634,CH Co.opFood 13 Le Van Thinh,HCM,161206,Y,S
6341,TC CH CFood 13Le Van Thinh-100,HCM,161206,N,S
635,CH Co.opFood Hoang Dieu 2,HCM,161206,Y,S
6351,TC CH CFood Hoang Dieu 2-100,HCM,161206,N,S
636,CH Co.opFood Flora,HCM,161206,Y,S
6361,TC CH CFood Flora DXH-100,HCM,161206,N,S
637,CH Co.opFood An Khang,HCM,161213,Y,S
6371,TC CH CFood An Khang-100,HCM,161213,N,S
69008,CH NQ Tay Hoa,HCM,161214,Y,S
69009,NKD-CH NQ 23/9,HCM,161221,N,S
304,Co-opXtra Tan Phong,"Q.7, HCM",161223,Y,S
303,Cty TNHH Saigoncoop-FairPrice,HCM,161224,N,S
1181,CF P.Thiet Hai Thuong Lan Ong,Phan Thiet,161226,Y,S
520,Co.opMart Chau Doc,An Giang,161226,Y,S
5201,Trung chuyen Chau Doc-520,An Giang,161226,N,S
521,KSD-Co.opMart Duc Pho,Quang Ngai,161227,Y,S
1871,KSD-CF Can Tho-Tran Viet Chau,Can Tho,161227,N,S
1872,KSD-CF Can Tho-Le Hong Phong,Can Tho,161227,N,S
904,TC Co-opXtra Tan Phong-304,Binh Duong,161227,N,S
69010,CH NQ Nguyen Van Cong,HCM,0,Y,S
69011,CH NQ Ca Mau-TTMS Hoang Gia,Ca Mau,170111,Y,S
638,CH Co.opFood Nguyen Luong Bang,"Q.7,HCM",170112,Y,S
6381,TC CH CFood Ng Luong Bang-100,"Q.7,HCM",170112,N,S
639,CH Co.opFood Green Hills,HCM,170316,Y,S
640,CH Co.opFood CC Son Ky,HCM,170316,Y,S
641,CH Co.opFood Saigon Town,HCM,170316,Y,S
642,CH Co.opFood 372 No Trang Long,HCM,170316,Y,S
643,CH Co.opFood D20 Vo Van Van,HCM,170316,Y,S
6391,TC CH CFood Green Hills-100,HCM,170316,N,S
6401,TC CH CFood CC Son Ky-100,HCM,170316,N,S
6411,TC CH CFood Saigon Town-100,HCM,170316,N,S
6421,TC CH CFood No Trang Long-100,HCM,170316,N,S
6431,TC CH CFood D20 Vo Van Van-100,HCM,170316,N,S
1182,CF Phan Thiet-Tu Van Tu,Binh Thuan,170404,Y,S
1873,KSD-CF Can Tho-Tay Do,Can Tho,170419,N,S
644,CH Co.opFood 174 Phan Van Hon,"Q12, HCM",170421,Y,S
6441,TC CH CF 174 Phan Van Hon-100,Binh Duong,170421,N,S
1312,CF Vung Tau Center,Ba Ria Vung Tau,170421,Y,S
5211,Trung chuyen Duc Pho-521,Binh Duong,170428,N,S
645,CH Co.opFood Long Truong,"Q9, TP.HCM",170504,Y,S
6451,TC CH CF Long Truong-100,Binh Duong,170504,N,S
69012,KSD-CH NQ Bong Sao,"P5,Q8, HCM",170522,N,S
646,NKD-CH Co.opFood Chung Cu 8X,HCM,170605,N,S
6461,TC CH CF Chung Cu 8X-100,Binh Duong,170605,N,S
522,Co.opMart Ca Mau,Ca Mau,170615,Y,S
5221,Trung chuyen Ca Mau-522,Binh Duong,170615,N,S
69013,CH NQ Binh Hung,HCM,170615,Y,S
69014,CH NQ Linh Xuan,"Thu Duc, HCM",170615,Y,S
69015,NKD-CH NQ Le Van Luong,HCM,170615,N,S
5061,Trung chuyen Van Thanh-506,Binh Duong,170616,N,S
5081,Trung chuyen Nguyen Binh-508,Binh Duong,170616,N,S
